"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"2133","Jimmy Bullard","Central Midfield",30,"Fulham","Premier League","Hull City","Premier League","2008",4.5,5.3,0.8,"Big5","Big5"
"2134","Mauro Boselli","Centre-Forward",23,"Boca Juniors","Primera División","Estudiantes","Primera División","2008",3.5,5.3,1.8,"Americas","Americas"
"2135","Renato Augusto","Central Midfield",20,"Flamengo","Serie A","Bay. Leverkusen","Bundesliga","2008",5.5,5.2,-0.3,"Big5","Big5"
"2136","John Arne Riise","Left-Back",27,"Liverpool","Premier League","AS Roma","Serie A","2008",12.5,5,-7.5,"Big5","Big5"
"2137","Raffaele Palladino","Left Winger",24,"Juventus","Serie A","Genoa","Serie A","2008",10,5,-5,"Big5","Big5"
"2138","Steed Malbranque","Central Midfield",28,"Spurs","Premier League","Sunderland","Premier League","2008",9,5,-4,"Big5","Big5"
"2139","Guilherme","Second Striker",20,"Cruzeiro","Serie A","Dynamo Kyiv","Ukranian Premier Liga","2008",8,5,-3,"Big5","Europe"
"2140","Alex","Attacking Midfield",26,"Internacional","Serie A","Spartak Moscow","Russian Premier Liga","2008",7.5,5,-2.5,"Big5","Europe"
"2141","Pascal Feindouno","Right Winger",27,"Saint-étienne","Ligue 1","Al Sadd","Stars League","2008",7.5,5,-2.5,"Big5","Asia Africa"
"2142","Igor Budan","Centre-Forward",28,"Parma","Serie B","US Palermo","Serie A","2008",6.5,5,-1.5,"Big5 B","Big5"
"2143","Igor Semshov","Central Midfield",30,"Dinamo Moscow","Russian Premier Liga","Zenit S-Pb","Russian Premier Liga","2008",6,5,-1,"Europe","Europe"
"2144","Gerard Piqué","Centre-Back",21,"Man Utd","Premier League","FC Barcelona","LaLiga","2008",5.5,5,-0.5,"Big5","Big5"
"2145","Khalid Boulahrouz","Centre-Back",26,"Chelsea","Premier League","VfB Stuttgart","Bundesliga","2008",5,5,0,"Big5","Big5"
"2146","Steve Savidan","Centre-Forward",30,"Valenciennes FC","Ligue 1","SM Caen","Ligue 1","2008",5,5,0,"Big5","Big5"
"2147","Hilton","Centre-Back",30,"Lens","Ligue 2","Marseille","Ligue 1","2008",4.5,5,0.5,"Big5 B","Big5"
"2148","Andrea Gasbarroni","Second Striker",26,"Parma","Serie B","Genoa","Serie A","2008",4,5,1,"Big5 B","Big5"
